PROCESS_UUID	PROCESS_NAME	FLOW_UUID	FLOW_NAME	UNIT	
a8c3ad24-992e-31e0-9e18-fdf0280875df	Lost foam casting, aluminum	34e560b1-5686-32f7-9dd3-e1dc8d9bbc46	Aluminum, cast, lost foam, at plant	kg	
faa85914-ec68-377e-aee5-0e0af4e27fc8	Chlorine, production mix, at plant	bf2b1e5a-4c92-3974-a2fd-a68898833086	Sodium hydroxide, production mix, at plant	kg	
f61ecd3b-fdba-3739-8051-1d4bb0c2d98e	Precision sand casting, aluminum	5b669606-74bf-3601-be6b-248cb1160ac9	Aluminum scrap, at precision sand casting	kg	
0bb53c29-31b1-3e8c-87ac-a2ef6793f8f2	Phenol formaldehyde, at plant	b53bd8bb-b9b1-3c7d-812b-97adb96f8ba6	Phenol formaldehyde, at plant	kg	
f61ecd3b-fdba-3739-8051-1d4bb0c2d98e	Precision sand casting, aluminum	25f336c6-26fd-3635-978d-ae53e771c989	Byproduct of aluminum casting, precision sand, liquid residuals	kg	
f61ecd3b-fdba-3739-8051-1d4bb0c2d98e	Precision sand casting, aluminum	fc1ee789-e922-3e7c-bbab-7a8ba489aea7	Aluminum, cast, precision sand casting	kg	
ab2436bc-97db-3154-898e-2c49ca4b698e	Semi-permanent mold (SPM) casting, aluminum	4bdb6faa-e48f-3f6b-9f39-4fe99814592a	Byproduct of aluminum casting, SPM, liquid residuals	kg	
ab2436bc-97db-3154-898e-2c49ca4b698e	Semi-permanent mold (SPM) casting, aluminum	86330173-3836-3299-b413-83d829fb604b	Aluminum scrap, at semi-permanent mold casting	kg	
7a2565f8-4a48-3263-9bc9-bcb28dbd58ad	Oxygen, liquid, at plant	055e3f80-da33-3f27-be5f-8d0c59872b9a	Oxygen, liquid, at plant	kg	
ab2436bc-97db-3154-898e-2c49ca4b698e	Semi-permanent mold (SPM) casting, aluminum	5acf07ec-9122-3be0-96be-9362ef4f1463	Aluminum, cast, semi-permanent mold (SPM), at plant	kg	
7a0942f9-5fe3-3a78-aff1-9399fea7c14b	Zinc, sheet	808f834e-a34b-37a0-952c-57d6d404de92	Zinc, sheet	kg	
230e8d51-1f4d-3459-be47-429b0b828add	Zinc, Special High Grade	23942f4b-21e8-374d-83be-1c799aea1cd4	Zinc, Special High Grade 	kg	
a8eb9a6a-e8e6-3da6-a3ab-20dcf68e883a	Aluminum ingot, production mix, at plant	aec9945f-f19c-3834-8e26-5f4f92cfcb2b	Aluminum ingot, production mix, at plant	kg	
f525f32d-e3e4-3434-883d-e4b224a47524	Aluminum, secondary, ingot, at plant, 1998	787b3f81-78b2-3588-b3b5-31179527a929	Aluminum, secondary, ingot, at plant, 1998	kg	
9cc8fafa-e232-3d86-a473-6b5d04431999	Aluminum, secondary, ingot, from beverage cans, at plant	31fe03e1-7475-3898-b444-3ac1212c78ad	Aluminum, secondary, ingot, from beverage cans, at plant	kg	
2b196386-eb1a-352a-aeda-4d003144f6df	Aluminum, cold rolling, at plant	e929f473-7780-3eca-94e4-a2d0f7d4b8b0	Aluminum, cold rolling, at plant	kg	
21aeedbf-933a-3570-8b9e-a44dc6fa6637	Aluminum, primary, ingot, at plant, 1998	a0fb699f-0085-3ad2-99bf-e4ea891e61ba	Aluminum, primary, ingot, at plant, 1998	kg	
d20197e1-967f-35cb-95c1-0dbde806c367	Aluminum recovery, transport, to plant	13d77c80-5c2a-324a-b125-19dd287c71b2	Aluminum recovery, transport, to plant	kg	
3d53c055-f03b-381f-966e-6d61abbe88a0	Aluminum, secondary, ingot, from automotive scrap, at plant	90c60c75-922b-392d-8f83-072da6aabf41	Aluminum, secondary, ingot, from automotive scrap, at plant	kg	
9c0c2415-126f-3162-8479-f002f315a8c7	Quicklime, at plant	c34c4451-297f-3b5c-a15f-2c16cdb52ad9	Quicklime, at plant	kg	
bcc68f88-debb-3fc3-93ee-5ceadcef0b14	Aluminum, secondary ingot, at plant	36549ddd-3dca-3b48-a1b0-7c6889afba05	Aluminum, secondary, ingot, at plant	kg	
3f888c9f-35e2-3162-bc14-49700cff888c	Aluminum, secondary, rolled	09744a4a-5791-3218-afef-bc6ad0253d67	Aluminum, secondary, rolled	kg	
77fe2197-8861-3569-8d85-07151789b1e7	Aluminum, extrusion, at plant	8f715a36-b36b-3b20-81ea-7a7e1cdc47fe	Aluminium, extrusion, at plant	kg	
381d3e3d-29ae-3101-a95b-56a4cec08486	Aluminum, hot rolling, at plant	dc4d39f5-33ce-3633-8b50-0ebd40aa06cf	Aluminum, hot rolling, at plant	kg	
99963138-ddf9-3b32-9e93-69593d76cb08	Aluminum, primary ingot, at plant	87afb279-60ef-3174-ab6a-7353dd006dd7	Aluminum, primary, ingot, at plant	kg	
91beb684-4d04-38b9-8800-a274762a9d44	Alumina, at plant	46e66bb8-2bdc-31d2-9a6f-260e69dc464b	Alumina, at plant	kg	
4b0fe164-84c7-31e2-a3fc-ff570cd264e1	Aluminum, primary, smelt, at plant	5fabff2e-1d64-35e7-9528-7ff23586c5e9	Aluminum, primary, smelt, at plant	kg	
c378e883-97fc-3714-b923-d7271b8fcbac	Cold rolled sheet, steel, at plant	5d5319f2-727c-343d-aaba-32517583a0a4	Cold rolled sheet, steel, at plant	kg	
2250f2f2-7faa-3307-9534-ca78b371b4dd	Steel, cold-formed studs and track, at plant	7defe4d2-ac83-3d7b-a764-ce00ee2d5f51	CUTOFF Galvanized steel scrap, at plant	kg	
2250f2f2-7faa-3307-9534-ca78b371b4dd	Steel, cold-formed studs and track, at plant	88f1219a-d464-3e29-b43d-7a4d6ca4db8d	Steel, cold-formed studs and track, at plant	kg	
fb97ca58-8d24-3147-b08f-7788b67ab151	Metallurgical coke, at plant	0ad02910-742a-31a0-a960-415b61e5fe71	Metallurgical coke, at plant	kg	
dc72e285-719b-318b-9c9c-c838846a9cf4	Crude oil, in refinery	4f1bfabb-f0d3-3f1f-a905-2fd9b36bbfa0	Petroleum coke, at refinery	kg	
0aaf1e13-5d80-37f9-b7bb-81a6b8965c71	Petroleum refining, at refinery	4f1bfabb-f0d3-3f1f-a905-2fd9b36bbfa0	Petroleum coke, at refinery	kg	
caefe875-8560-3e7f-a8b7-a002485f75d6	Anode, at plant	f9130933-0414-3a68-8fb0-40f4bac7e13f	Anode, at plant	kg	
22b1bab0-c987-3728-9c44-f383f9ef98c7	Polyethylene, linear low density, resin, at plant	272dd0b6-7b8e-3c35-b35c-89f540ea30f8	Polyethylene, linear low density, resin, at plant	kg	
b19fe3da-392e-36af-9342-910be1d2160a	Polyvinyl chloride, resin, at plant	f5d9a8c8-53d8-37a2-8b48-49412b0b9fad	Polyvinyl chloride, resin, at plant	kg	
1ba8424c-2bdb-353e-8ea4-5e8d3bd477b8	Polypropylene, resin, at plant	6979d8c0-c21a-387e-81d4-48355af98265	Polypropylene resin, at plant	kg	
05561830-e889-31a3-b2be-7c52ee2ea545	Polyethylene, low density, resin, at plant	050234ce-b360-3b94-a283-4af00f8a86c1	Polyethylene, low density, resin, at plant	kg	
0f02f4bf-055b-35ff-ac40-1a21be06165f	Aluminum, sheet, coated, at plant	218f8159-44ed-3f71-8d24-de81476cc8a6	Aluminum, sheet, coated, at plant	kg	
7f4424b8-da85-3804-ad14-2650343af83c	Polyol ether, for rigid foam polyurethane production, at plant	1ada3cba-253f-3aad-8f2b-5ed447b39f26	Polyol ether, for rigid foam polyurethane production, at plant	kg	
424444d2-67d5-3052-a42e-dde74b5dad37	Trim and saw process, at plywood plant, US PNW	ea72f92a-274c-380d-834a-01752bd795e7	Plywood, at plywood plant, US PNW	kg	
70bfc14c-0e69-36e9-918a-908cc713f7f8	Oriented strand board processsing, at plant, US SE	74b5de55-91a1-3edc-99d4-bac3b6da2b2a	Oriented strand board product, US SE	kg	
5291fc77-bbb9-3917-83e7-6b456506e229	Planed dried lumber processing, at planer mill, US PNW	91c0f74d-2ce7-3ae0-8216-7a78568f949d	Surfaced dried lumber, at planer mill, US PNW	kg	
704d1ff7-6f9e-3f8c-84c3-b8340c3bccad	Metal panels, roof, at plant	b68a47d0-a96b-3d15-801d-6d1a41338394	Metal panels, roof, at plant	kg	
7ba5512f-6769-3c2f-a676-75d2b860f4f5	Metal panels, wall, at plant	9af1df3c-c4b0-3397-8aca-f22701557d09	Metal panels, wall, at plant	kg	
60b5e1ee-3f9c-39e4-ad2f-68cfe3a71956	Steel product, primary structural, beams and columns, at plant	51447292-5c8a-3369-8ab1-092bdaf61c38	Steel product, primary structural, beams and columns, at plant	kg	
d6510d2d-d29c-3705-b686-b7903cd6e6bd	Galvanized steel sheet, at plant	a117f4f3-8ff6-34a0-a284-b9dfa94b87d5	Galvanized steel sheet, at plant	kg	
bc251c04-d2b2-366f-af0c-99d8fc2ed467	Hot rolled sheet, steel, at plant	a0db1861-d492-3a3a-b73e-8727727b91e9	Hot rolled sheet, steel, at plant	kg	
d7c36a39-fdcc-3eb8-a8cd-c6c2b5a11c9a	Polyethylene, high density, resin, at plant 	d740bd91-542d-3ac4-818e-120e38546536	Polyethylene, high density, resin, at plant 	kg	
41ecdfe1-8026-3373-96c4-ee1921f2525c	Galvanized steel coil, coated, at plant	55725953-49d5-3d31-97ab-40077034f62d	Galvanized steel coil, coated, at plant	kg	
c245a252-0860-41d2-9789-802bab7984ab	Containerboard, average production, at mill	42385daf-e0a4-35de-9a68-931400275c60	Containerboard, average production, at mill	kg	
f337d438-49db-3078-b1dd-3e6e7ca1e9b5	Dry rough lumber, at kiln, US SE	549ad7af-b32f-3273-bef2-3af7a816b8fd	Dry rough lumber, at kiln, US SE	kg	
e0aa6dd1-b3ac-30ab-bd56-64f96bfa4a1b	Steel product, secondary structural, girts and purlins, at plant	20defd6e-b3f3-3a98-94e0-c5db9818a2c8	Steel product, secondary structural, girts and purlins, at plant	kg	
9f9e378b-7faa-4d4c-a419-3374b3632021	vitamin premix production; cow feed vitamin mix; at processing plant gate	d5da1ef1-969d-458f-a586-72f8757ee51b	vitamin premix; cow feed vitamin mix; at processing plant gate	kg	
8e0cfdc0-092e-3fb8-9633-151e1203960e	DL-methionine; chemical synthesis; at processing plant	4cd8a390-bb43-34d8-9aa8-5df7b24592ad	DL-methionine; chemical synthesis; at processing plant	kg	
23b49467-35fb-37ae-a8d3-492cef12c5b6	vitamin premix; swine feed vitamin mix; at processing plant gate	fae283df-18eb-3a83-b242-a42750291838	vitamin premix; swine feed vitamin mix; at processing plant gate	kg	
013128a5-17cf-3dd5-921b-eb06b0c5f2d4	L-lysine; fermentation process; at processing plant	c99d17f6-3956-349d-b7b9-6f09983b46d9	L-lysine; fermentation process; at processing plant	kg	
54ec9a8c-c515-4e8f-abaf-0bf8256ecabd	sodium selenite, at plant	d15851f1-f090-3d08-8595-21816f05adb8	sodium selenite	kg	
d407476c-2de5-390e-9aa0-d0f5607f57a2	trace minerals mixture; swine feed mineral mix; at processing plant	ea9098bf-b128-3059-8acf-e7d6d8c0dc87	trace minerals mixture; swine feed mineral mix; at processing plant	kg	
e8b45995-4810-340f-a903-5fab9d76e031	soybean meal production; solvent-extracted; region 3; at soybean processing plant	2b080e28-cb18-3a4b-a53d-bf60090323aa	soybean oil; solvent-extracted; region 3; at soybean processing plant	kg	
2a7211da-f431-4a70-a6d3-bb6a4422b727	wheat flour milling; US average; at wheat mill	5143f7e8-8616-4a56-a46f-b09f0e7799f7	wheat bran; dry milling; US average; at mill	kg	
2a7211da-f431-4a70-a6d3-bb6a4422b727	wheat flour milling; US average; at wheat mill	95c2becd-2f05-4da8-b5fd-252b5a281bdc	wheat middlings; dry milling; US average; at mill	kg	
f09b83e0-e0f9-43df-8349-5fbaa5820146	winter wheat production; conventional tillage; US average; at regional storage; 14% MC	25be2455-cd19-47ca-b54b-ddb082c387b7	winter wheat; conventional tillage; US average; at regional storage; 14% MC	kg	
2a7211da-f431-4a70-a6d3-bb6a4422b727	wheat flour milling; US average; at wheat mill	822f6428-e5ba-4153-9863-0973750bd7c0	wheat flour; dry milling; US average; at mill	kg	
cb87d199-4e78-3398-a9b4-c7083f61afe4	soybean meal; solvent-extracted; region 1; at soybean processing plant	ab5be94b-e856-3196-a463-255932b4f3ee	soybean oil; solvent-extracted; region 1; at soybean processing plant	kg	
83aa70d6-5a8a-3795-a006-5632fb26c8c5	soybean meal; solvent-extracted; region 2; at soybean processing plant	b58ce729-7d54-36ff-bf1c-cab16516bf8b	soybean oil; solvent-extracted; region 2; at soybean processing plant	kg	
885cba3c-fed7-33cc-834c-270bb1313e32	soybean meal; solvent-extracted; region 4; at soybean processing plant	1299ba37-aeb7-3003-bf10-6316e2e07631	soybean oil; solvent-extracted; region 4; at soybean processing plant	kg	
937c6881-adb1-3f08-9100-b583463e5589	soybean meal; solvent-extracted; region 5; at soybean processing plant	d181d683-cdd6-324c-b5ac-d631128c7956	soybean oil; solvent-extracted; region 5; at soybean processing plant	kg	
e8b45995-4810-340f-a903-5fab9d76e031	soybean meal production; solvent-extracted; region 3; at soybean processing plant	e30ff4c2-bcb5-376c-b77d-f2f9dbdcdb2f	soybean meal; solvent-extracted; region 3; at soybean processing plant	kg	
cb87d199-4e78-3398-a9b4-c7083f61afe4	soybean meal; solvent-extracted; region 1; at soybean processing plant	80bac33a-3582-3d63-8acc-c52a0ce34e45	soybean meal; solvent-extracted; region 1; at soybean processing plant	kg	
937c6881-adb1-3f08-9100-b583463e5589	soybean meal; solvent-extracted; region 5; at soybean processing plant	25cdfef2-4b94-3e87-b067-0f9eb63ac1b8	soybean meal; solvent-extracted; region 5; at soybean processing plant	kg	
885cba3c-fed7-33cc-834c-270bb1313e32	soybean meal; solvent-extracted; region 4; at soybean processing plant	0c755302-aa73-35e4-ad17-5cafef45ac82	soybean meal; solvent-extracted; region 4; at soybean processing plant	kg	
