PROCESS_UUID	PROCESS_NAME	FLOW_UUID	FLOW_NAME	UNIT
1690a790-c6bc-33fa-8d2a-eaf359652898	barley seed organic, at regional storehouse	7fc30003-0f90-308b-b406-78e7985e5c47	barley seed organic, at regional storehouse	kg
4c9e95c8-5b9b-38cb-94ff-733638de8367	ethoxylated alcohols (AE3), petrochemical, at plant	1e4b06b0-6878-38c5-8f0b-0f53bee71fcd	ethoxylated alcohols (AE3), petrochemical, at plant	kg
3d6ea91e-6217-3a3f-86e7-03ad291816ea	naphtha, at refinery	db713ade-d9b4-3178-97c6-bf7b589bb016	naphtha, at refinery	kg
6720d9d3-79a4-3f15-89de-b866709910c5	epoxy resin, liquid, disaggregated data, at plant	ee781063-7750-3eb0-9545-65c9bea87062	epoxy resin, liquid, disaggregated data, at plant	kg
d4878a90-fc61-32ab-9810-3b1c488efa0e	crude oil, at production onshore	603534ab-c6fe-3fc3-b4f6-70cc013cc008	crude oil, at production onshore	kg
0a1c9521-587d-3b99-8326-0a9d25e32e51	metallization paste, back side, at plant	33416295-ca06-32fb-ba6c-305b1fb4cde4	metallization paste, back side, at plant	kg
0043102c-6524-34c6-8230-129781dba71e	sunflower conventional, Castilla-y-Leon, at farm	495170eb-90ff-3583-8606-8af8dfaa8c25	sunflower conventional, Castilla-y-Leon, at farm	kg
2bdb3270-295a-3888-a562-c7589b29b453	gold, from combined gold-silver production, at refinery	3316aec1-9041-35bd-a4a8-1d3d6793c49a	gold, from combined gold-silver production, at refinery	kg
3f3652e6-5870-3904-ba5a-883cd6dbd6f2	husked nuts harvesting, at farm	f50f44e2-5ce8-3cbf-a429-fb9425a83dcb	husked nuts harvesting, at farm	kg
12daa661-36ee-3948-9ac2-8c0d7ee6120b	glycerine, from rape oil, at esterification plant	3fffd323-31aa-32d1-be3b-a389eda523da	glycerine, from rape oil, at esterification plant	kg
99ca570d-42f9-30f2-bbc8-fb5d0c97d4fe	acetic anhydride from acetaldehyde, at plant	fad94186-4d59-3f11-82a7-af378755e0df	acetic anhydride from acetaldehyde, at plant	kg
3f0517d3-2a20-39f1-a275-d5699bd9e592	rhodium, primary, at refinery	fdbb7b8e-83f1-33e7-b0b0-a3d79b0ba09b	rhodium, primary, at refinery	kg
fa2b2d49-8a79-3725-a954-b708f300814f	copper telluride cement, from copper production	807e49e0-60af-300f-a994-070764cf20f9	copper telluride cement, from copper production	kg
2b3fa685-62a6-3dec-8ab5-28808080230c	nickel, primary, from platinum group metal production	97f8fe01-882a-3281-bac0-7dc89b60fb82	nickel, primary, from platinum group metal production	kg
96bb7c24-08e3-30ee-a63e-6ff926fc183c	hay intensive IP, at farm	94424f0f-335a-391d-b5a1-2990ddcfc65e	hay intensive IP, at farm	kg
b7fbf0ad-dee9-3afa-a959-7109fdb20a80	dismantling, laptop, mechanically, at plant	bf2d3e58-e4d7-3eb7-86f1-7b4cc6b879ab	dismantling, laptop, mechanically, at plant	kg
9ef27a9c-da1e-30e2-931e-50175bd0d144	polyester resin, unsaturated, at plant	07cb0b4a-cb03-32f2-b38d-ff3d1008c010	polyester resin, unsaturated, at plant	kg
ec652add-ecba-3c37-9bd1-6fed7faf3f7f	crude oil, production RAF, at long distance transport	5754292a-30c9-3d07-a92d-8303984da7b5	crude oil, production RAF, at long distance transport	kg
7ddf2e3b-641c-33d1-acdc-d5f75b8c428e	titanium dioxide, chloride process, at plant	b59d05dd-dea5-3d0e-ba3a-268b57889c2a	titanium dioxide, chloride process, at plant	kg
02189545-6dd6-3f67-bd42-2c05e75f4b68	Al fraction, mechanical treatment, CRT screen, at plant	e7a82ac5-e557-3133-8a6c-c7712c9431ee	Al fraction, mechanical treatment, CRT screen, at plant	kg
4219ebd1-6f1c-3a92-89f5-c213cff2df09	melamine, at plant	f8149043-fb7a-37fd-b4c7-f060941e24d5	melamine, at plant	kg
512234d2-1db6-3ab9-9344-534be87a5bc6	rye grains extensive, at farm	d8707feb-e0e1-3116-885f-9b996a6ee80c	rye grains extensive, at farm	kg
0c19766d-b43e-348e-857a-6712fb8cc1ce	methyl ethyl ketone, at plant	4f32e14c-a6fb-3601-9b12-9c907f20fe55	methyl ethyl ketone, at plant	kg
244d7ec3-0145-3c68-8b2b-25bedd7be6d9	packaging glass, green, at plant	c58e6303-576a-367e-a21e-505285a07e4f	packaging glass, green, at plant	kg
67379f7c-434c-3bee-ac21-5b815e115b62	disposal, lignite ash, 0% water, to opencast refill	e3fc10af-b1aa-3d4f-b7bb-2d0a9e03b0d1	disposal, lignite ash, 0% water, to opencast refill	kg
9f0e3368-163f-3b22-9613-3de528b688bd	portachrom, at plant	c0d9d634-5161-3a2b-b195-84db5a070398	portachrom, at plant	kg
01167169-5546-38bb-beea-f1f72b3a2701	glass cullets, panel glass, for CRT glass production, at plant	1ad26f56-4e96-3269-bb4a-854e8ee406c8	glass cullets, panel glass, for CRT glass production, at plant	kg
989c0264-afb4-321a-9ce0-bae95c59b3f9	coating powder, at plant	906a8d2b-d11b-3d8c-b6c9-eec98f073f91	coating powder, at plant	kg
21bf1d40-d8a4-386c-ac9d-8f767cbcb733	phosphate rock, as P2O5, beneficiated, wet, at plant	36ba5ae3-f933-3dbe-b47e-a2e841df03a9	phosphate rock, as P2O5, beneficiated, wet, at plant	kg
a1aa57f3-bb8d-3387-89ec-e233ca3a4c64	calcium carbide, technical grade, at plant	2d8083ff-9af8-342c-bb79-6eba521bbe94	calcium carbide, technical grade, at plant	kg
5c394f71-9dee-36aa-bcf9-41598b4ffb3a	turning, steel, CNC, primarily roughing	a803a9cc-792b-35f5-9406-10bc917afbed	turning, steel, CNC, primarily roughing	kg
